Date,Ticker,Close,Pred_1,Pred_3,Pred_7
2020-12-11,DIS,175.72,153.94807239988856,155.17446501596226,150.64366747867402
2020-12-14,DIS,169.3,154.90290498720162,154.3305128694503,154.64132074702286
2020-12-15,DIS,173.94,172.81378148999923,154.16741854608452,155.274025924312
2020-12-16,DIS,173.12,172.1132220116329,155.82780526954903,156.9484299370712
2020-12-17,DIS,173.55,173.43436820723826,175.15024698002105,157.3244284380432
2020-12-18,DIS,172.89,173.31448498041917,171.90902618772415,155.5015534108827
2020-12-21,DIS,170.69,174.77123167599586,174.88033350454398,155.70905204464785
2020-12-22,DIS,170.45,172.83821799614537,174.22778478397782,156.28371427381293
2020-12-23,DIS,173.55,,175.58016448001692,177.26689527525534
2020-12-24,DIS,173.73,,174.36647903202223,174.47389157777124
2020-12-28,DIS,178.86,,,177.13132716926782
2020-12-29,DIS,177.3,,,176.85065891561308
2020-12-30,DIS,181.17,,,176.0197181921338
2020-12-31,DIS,181.18,,,
2020-12-01,MSFT,216.21,,,
2020-12-02,MSFT,215.37,214.79426362688554,,
2020-12-03,MSFT,214.24,215.84790408243475,,
2020-12-04,MSFT,214.36,215.58634551047612,214.76362959440624,
2020-12-07,MSFT,214.29,215.75699787692096,217.0465807352376,
2020-12-08,MSFT,216.01,214.01486200032858,216.04046468600288,
2020-12-09,MSFT,211.8,214.65426310038234,215.59795000616748,
2020-12-10,MSFT,210.52,215.80973271443844,214.67675780919038,216.03559396422108
2020-12-11,MSFT,213.26,213.0809605083791,214.67589745383228,216.98543381695953
2020-12-14,MSFT,214.2,211.96143118578217,216.9176859041181,217.84060851538928
2020-12-15,MSFT,214.13,212.06594164337574,213.26062061214148,216.09912290391665
2020-12-16,MSFT,219.28,214.33583697548048,211.85258486460194,215.59822767543187
2020-12-17,MSFT,219.42,214.45036898669875,212.86660508893237,215.96361821897335
2020-12-18,MSFT,218.59,217.38145335593913,214.30012896902272,216.84389524645718
2020-12-21,MSFT,222.59,220.69073729541518,215.41855724176065,214.90557830113428
2020-12-22,MSFT,223.94,218.62612389556995,218.3941147067528,212.2262094497133
2020-12-23,MSFT,221.02,,220.6513106361046,213.86522484721993
2020-12-24,MSFT,222.75,,219.23081786439278,215.59388322313714
2020-12-28,MSFT,224.96,,,220.25427092119972
2020-12-29,MSFT,224.15,,,221.21569834663956
2020-12-30,MSFT,221.68,,,220.1714658780705
2020-12-31,MSFT,222.42,,,
